,stop_id,difference,actual_time,departure_time,stop_code,stop_name,stop_lat,stop_lon
59,902145,0,2018-04-02 19:05:00,2020-04-02 19:05:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
60,902145,-660,2018-04-02 04:54:00,2020-04-02 05:05:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
61,902145,60,2018-04-02 07:21:00,2020-04-02 07:20:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
62,902145,-360,2018-04-02 09:04:00,2020-04-02 09:10:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
63,902145,180,2018-04-02 13:23:00,2020-04-02 13:20:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
64,902145,-60,2018-04-02 17:19:00,2020-04-02 17:20:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
65,902145,60,2018-04-02 19:21:00,2020-04-02 19:20:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
66,902145,60,2018-04-02 21:16:00,2020-04-02 21:15:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
67,902145,240,2018-04-02 22:59:00,2020-04-02 22:55:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
68,902145,300,2018-04-03 00:40:00,2020-04-02 00:35:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
69,902145,-480,2018-04-02 05:27:00,2020-04-02 05:35:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
70,902145,-420,2018-04-02 09:30:00,2020-04-02 09:37:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
71,902145,-360,2018-04-02 13:29:00,2020-04-02 13:35:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
72,902145,-120,2018-04-02 15:36:00,2020-04-02 15:38:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
73,902145,60,2018-04-02 15:51:00,2020-04-02 15:50:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
74,902145,0,2018-04-02 17:50:00,2020-04-02 17:50:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
75,902145,-420,2018-04-02 19:30:00,2020-04-02 19:37:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
76,902145,-360,2018-04-02 07:49:00,2020-04-02 07:55:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
77,902145,-360,2018-04-02 09:44:00,2020-04-02 09:50:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
78,902145,120,2018-04-02 14:07:00,2020-04-02 14:05:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
79,902145,60,2018-04-02 16:06:00,2020-04-02 16:05:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
80,902145,120,2018-04-02 18:07:00,2020-04-02 18:05:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
81,902145,-420,2018-04-02 19:43:00,2020-04-02 19:50:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
82,902145,-180,2018-04-02 21:37:00,2020-04-02 21:40:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
83,902145,-300,2018-04-02 23:15:00,2020-04-02 23:20:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
84,902145,300,2018-04-03 01:20:00,2020-04-02 01:15:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
85,902145,-600,2018-04-02 05:55:00,2020-04-02 06:05:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
86,902145,-600,2018-04-02 08:00:00,2020-04-02 08:10:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
87,902145,-300,2018-04-02 10:00:00,2020-04-02 10:05:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
88,902145,-300,2018-04-02 14:00:00,2020-04-02 14:05:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
89,902145,240,2018-04-02 14:24:00,2020-04-02 14:20:00,902145,LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,33.823071999999996,-84.36995
